epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,9797.65,0.38824,0.24149,0.77745,0.99471,0.9832,0.99455,0.93146,0.34007,0.25055,0.76581,0.000297226,0.000297226,0.000297226
85,9918.5,0.38709,0.2381,0.77865,0.99428,0.98336,0.99446,0.93036,0.33569,0.24241,0.76814,0.000280723,0.000280723,0.000280723
86,10035.3,0.37869,0.23754,0.77761,0.99521,0.9843,0.9946,0.9335,0.32509,0.23669,0.76725,0.00026422,0.00026422,0.00026422
87,10151.7,0.36986,0.23161,0.77529,0.9952,0.9844,0.99454,0.93386,0.32302,0.23713,0.76706,0.000247716,0.000247716,0.000247716
88,10268,0.36501,0.23166,0.77666,0.99544,0.9838,0.99456,0.93267,0.32257,0.23538,0.76695,0.000231213,0.000231213,0.000231213
89,10384,0.37343,0.23042,0.77869,0.9952,0.98412,0.99454,0.93018,0.3306,0.2399,0.76761,0.00021471,0.00021471,0.00021471
90,10500.4,0.37087,0.23158,0.77782,0.99454,0.98412,0.99456,0.932,0.32486,0.23994,0.76641,0.000198206,0.000198206,0.000198206
91,10604.6,0.36743,0.23714,0.77475,0.99509,0.98333,0.99449,0.92727,0.33127,0.23837,0.76756,0.000181703,0.000181703,0.000181703
92,10708.6,0.35619,0.23416,0.77622,0.99445,0.98486,0.99457,0.92955,0.33007,0.23923,0.7663,0.0001652,0.0001652,0.0001652
93,10812.6,0.35561,0.22987,0.77455,0.9955,0.98381,0.9946,0.92694,0.32223,0.23345,0.76717,0.000148696,0.000148696,0.000148696
94,10916.6,0.34836,0.22969,0.77424,0.99491,0.98452,0.99462,0.93017,0.32035,0.23259,0.76648,0.000132193,0.000132193,0.000132193
95,11020.9,0.3525,0.22887,0.77559,0.99467,0.98516,0.99461,0.93125,0.31734,0.23274,0.76635,0.00011569,0.00011569,0.00011569
96,11125,0.34192,0.22545,0.77433,0.99544,0.98449,0.99461,0.93124,0.32493,0.23832,0.76639,9.91865e-05,9.91865e-05,9.91865e-05
97,11229.1,0.33662,0.22415,0.77526,0.99486,0.9842,0.99455,0.93082,0.3224,0.23854,0.76585,8.26832e-05,8.26832e-05,8.26832e-05
98,11333.1,0.3403,0.22239,0.77441,0.9949,0.98417,0.99456,0.92989,0.32218,0.23615,0.7662,6.61799e-05,6.61799e-05,6.61799e-05
99,11437,0.33621,0.22101,0.77519,0.99513,0.9853,0.99464,0.93361,0.31524,0.2317,0.76613,4.96766e-05,4.96766e-05,4.96766e-05
100,11541.3,0.33419,0.21753,0.77489,0.99473,0.98522,0.99459,0.93098,0.31414,0.22809,0.76691,3.31733e-05,3.31733e-05,3.31733e-05
